idx,smiles,dG,affinity
3,CC(=O)N[C@H](CS)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-55.1,2.03
2,CC(=O)N[C@H](CSSC[C@H]([NH3+])C(=O)[O-])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-43.9,12.75
4a,CC(=O)N[C@H](CS)C(=O)N[C@H](C)C(=O)N[C@H](Cc1ccc(NC(N)=[NH2+])cc1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-68.7,1.23
4b,CC(=O)N[C@H](C[S-])C(=O)N[C@H](C)C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-34.9,0.27
5e,CC(=O)N[C@H](CS)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-65.5,0.5
5f,CC(=O)N[C@H](C[S-])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](Cc1ccncc1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-26.1,0.44
5a,CC[C@@H](NC(=O)[C@@H](Cc1cccc(NC(N)=[NH2+])c1)NC(=O)[C@@H](CCCNC(N)=[NH2+])NC(=O)[C@@H](CS)NC(C)=O)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-71.7,0.3
4d,CC(=O)N[C@H](CS)C(=O)N[C@H](C)C(=O)N[C@H](Cc1ccc(Cl)c(NC(N)=[NH2+])c1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-58.0,1.65
4c,CC(=O)N[C@H](CS)C(=O)N[C@H](C)C(=O)N[C@H](Cc1ccc(C)c(NC(N)=[NH2+])c1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-63.5,2.09
6a,CC(=O)N[C@H](CSSC[C@H](N)C(=O)[O-])C(=O)N[C@H](C)C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-36.5,2.91
6d,CC(=O)N[C@H](CSSC[C@H](N)C(=O)[O-])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-28.7,2.36
6e,CC(=O)N[C@H](CSSC[C@H]([NH3+])C(=O)[O-])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](Cc1ccncc1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-58.0,6.26
